Customer ID,Gender,Age,City,Membership Type,Total Spend,Items Purchased,Average Rating,Discount Applied,Days Since Last Purchase,Satisfaction Level
28,Female,44,Orlando,Gold,1060.41,16,4.6,FALSE,22,Satisfied
29,Male,26,San Francisco,Silver,844.2,11,4,TRUE,59,Unsatisfied
30,Female,35,Austin,Gold,1388.96,20,5,TRUE,16,Satisfied
31,Female,28,Seattle,Silver,692.98,12,3.9,TRUE,27,Neutral
32,Male,27,San Diego,Silver,744.95,14,4.6,TRUE,48,Neutral
33,Male,38,Philadelphia,Gold,1448.37,20,5,FALSE,9,Satisfied
34,Female,41,Austin,Silver,910.48,15,4.3,TRUE,56,Satisfied
35,Male,30,Denver,Bronze,446,9,3.3,TRUE,19,Unsatisfied
36,Female,40,Houston,Bronze,434.19,12,3.4,TRUE,68,Unsatisfied
37,Female,29,Dallas,Bronze,403.56,8,3,TRUE,46,Neutral
38,Male,28,Phoenix,Bronze,353.89,8,3.2,TRUE,33,Neutral
39,Female,44,Los Angeles,Silver,710.56,13,4.1,FALSE,59,Unsatisfied
40,Male,30,Chicago,Bronze,385.33,12,2.8,TRUE,50,Unsatisfied
41,Male,27,Denver,Bronze,497.58,12,3.2,TRUE,61,Unsatisfied
42,Female,31,Denver,Bronze,460.15,12,2.8,TRUE,56,Unsatisfied
43,Female,34,Phoenix,Silver,891.16,10,4.6,TRUE,31,Satisfied
44,Female,29,Denver,Gold,1340.35,18,4.8,FALSE,26,Satisfied
45,Female,38,San Diego,Bronze,428.31,9,3,FALSE,38,Neutral
46,Male,29,Boston,Silver,716.21,11,4.2,TRUE,28,Neutral
47,Male,30,Austin,Gold,1302.86,17,5,TRUE,22,Satisfied
48,Female,26,San Francisco,Silver,691.44,11,4.2,FALSE,31,Satisfied
49,Male,41,Las Vegas,Gold,1305.94,17,4.7,FALSE,26,Satisfied
50,Female,27,Los Angeles,Gold,915.87,21,4.5,TRUE,25,Satisfied
51,Male,43,San Francisco,Silver,645.38,10,4.3,TRUE,15,Unsatisfied
52,Male,36,San Francisco,Silver,841.7,11,4.1,FALSE,56,Satisfied
53,Male,27,Seattle,Silver,773.21,13,4.1,TRUE,24,Neutral
54,Male,35,Los Angeles,Bronze,321.77,11,2.9,TRUE,66,Neutral
55,Male,28,Austin,Gold,1185.89,21,4.8,FALSE,9,Satisfied
56,Female,41,Chicago,Gold,1402.6,17,4.7,FALSE,28,Satisfied
57,Female,29,San Francisco,Bronze,473.66,12,3,TRUE,67,Neutral
58,Male,31,Boston,Silver,790.24,15,4.5,FALSE,52,Satisfied
59,Female,26,Philadelphia,Gold,1670.1,21,4.4,FALSE,20,Neutral
60,Female,35,Portland,Bronze,560.69,12,2.9,FALSE,46,Neutral
61,Male,43,Dallas,Silver,655.3,11,3.5,TRUE,22,Satisfied
62,Female,44,Miami,Silver,862.09,12,3.6,TRUE,50,Neutral
63,Male,27,Boston,Silver,658.02,10,4,TRUE,18,Unsatisfied
64,Female,26,Seattle,Bronze,509.57,10,2.7,FALSE,64,Unsatisfied
65,Female,37,Houston,Silver,875.16,11,3.7,FALSE,57,Neutral
66,Male,35,Chicago,Bronze,412.75,10,3.1,FALSE,24,Neutral
67,Female,41,Las Vegas,Bronze,496.98,8,3.2,FALSE,63,Unsatisfied
68,Female,45,Los Angeles,Gold,1325.99,20,4.7,FALSE,13,Neutral
69,Male,42,Seattle,Gold,1442.22,20,4.8,FALSE,29,Satisfied
70,Female,30,Chicago,Silver,704.64,11,4.3,TRUE,38,Neutral
71,Male,37,New York,Silver,754.23,11,4.1,TRUE,17,Neutral
72,Male,29,Phoenix,Gold,1388.03,15,4.6,FALSE,18,Satisfied
73,Male,44,Portland,Gold,1485.84,16,5,TRUE,17,Satisfied
74,Male,32,Boston,Silver,823.01,10,4.6,TRUE,59,Neutral
75,Female,32,Orlando,Bronze,524.01,7,3.8,TRUE,40,Neutral
76,Male,31,San Francisco,Bronze,431.74,9,3.6,FALSE,57,Unsatisfied
77,Female,34,Denver,Gold,1417.66,18,4.8,TRUE,32,Neutral
78,Female,28,Portland,Silver,723.51,13,4.2,TRUE,64,Unsatisfied
79,Male,26,Atlanta,Gold,1468.19,15,4.5,FALSE,27,Satisfied
80,Male,28,Dallas,Silver,656.05,10,4.4,TRUE,34,Neutral
81,Male,40,Dallas,Bronze,548.05,8,3.1,TRUE,54,Neutral
82,Female,32,San Francisco,Bronze,409.2,11,2.8,TRUE,71,Unsatisfied
83,Female,42,Boston,Gold,1477.03,21,4.7,TRUE,31,Satisfied
84,Female,28,Dallas,Bronze,384.98,9,3,TRUE,50,Neutral
85,Female,40,Denver,Bronze,453.99,10,3.1,TRUE,46,Unsatisfied
86,Male,27,San Diego,Gold,1416.46,16,4.8,TRUE,20,Satisfied
87,Female,34,Miami,Bronze,432.45,8,3,TRUE,24,Neutral
88,Female,27,Las Vegas,Bronze,443.46,12,3.7,TRUE,69,Neutral
89,Male,40,Houston,Gold,1426.56,20,4.9,FALSE,25,Satisfied
90,Male,30,Dallas,Gold,1254.71,16,4.6,FALSE,27,Satisfied
91,Male,30,Seattle,Bronze,522.13,8,3.8,TRUE,35,Unsatisfied
92,Male,32,Miami,Gold,1484.65,18,4.7,TRUE,27,Satisfied
93,Male,28,Boston,Silver,848.09,14,4.3,TRUE,44,Unsatisfied
94,Male,29,Dallas,Bronze,480.67,11,3.4,TRUE,29,Neutral
95,Male,35,Orlando,Bronze,410.21,12,3,TRUE,78,Unsatisfied
96,Female,35,Phoenix,Bronze,443.79,12,3.1,FALSE,27,Neutral
97,Male,28,Orlando,Silver,761.18,14,4.1,TRUE,58,Neutral
98,Male,26,Las Vegas,Gold,1088.87,17,4.9,FALSE,29,Neutral
99,Female,36,Philadelphia,Bronze,455.59,8,3.5,TRUE,62,Neutral
100,Female,37,Phoenix,Gold,1179.83,18,4.8,TRUE,25,Satisfied
101,Male,41,Los Angeles,Bronze,481.69,7,3.7,TRUE,47,Neutral
102,Female,44,Orlando,Silver,871.03,15,4,TRUE,43,Neutral
103,Male,28,Portland,Silver,711.11,14,4.4,TRUE,57,Satisfied
104,Female,42,Los Angeles,Bronze,450.24,10,3.3,FALSE,42,Neutral
105,Male,35,Las Vegas,Gold,1448.73,17,4.6,TRUE,11,Satisfied
106,Male,43,Los Angeles,Bronze,409.63,9,2.8,FALSE,69,Neutral
107,Male,36,Miami,Bronze,538.92,12,3.5,TRUE,70,Unsatisfied
108,Female,26,Atlanta,Gold,1437.72,14,5,TRUE,26,Satisfied
109,Male,28,Philadelphia,Gold,1620.82,21,4.6,TRUE,32,Satisfied
110,Female,29,Las Vegas,Silver,660.16,13,4.1,FALSE,21,Neutral
111,Female,33,Denver,Gold,1336.33,15,4.7,TRUE,21,Satisfied
112,Female,31,Portland,Silver,673.22,13,3.7,TRUE,33,Neutral
113,Male,29,Chicago,Silver,652.79,15,4.1,TRUE,50,Neutral
114,Male,34,Orlando,Bronze,652.6,12,3.2,FALSE,18,Neutral
115,Female,37,Los Angeles,Gold,1482.34,21,4.6,TRUE,27,Satisfied
116,Male,41,Phoenix,Silver,739.35,12,3.9,TRUE,55,Satisfied
117,Male,30,Houston,Silver,758.17,15,3.6,TRUE,39,Neutral
118,Male,39,Philadelphia,Silver,738.32,10,3.8,TRUE,15,Satisfied
119,Female,33,Denver,Gold,1487.57,14,4.5,FALSE,30,Satisfied
120,Male,28,Portland,Silver,699.2,11,4.8,TRUE,29,Neutral
121,Female,33,Portland,Gold,1591.22,17,4.3,TRUE,32,Satisfied
122,Female,35,Los Angeles,Bronze,447.72,9,3.4,TRUE,79,Neutral
123,Female,33,New York,Bronze,450.69,8,3.2,TRUE,68,Neutral
124,Female,31,New York,Silver,750.41,12,4.1,TRUE,37,Neutral
125,Female,26,Portland,Bronze,422.17,11,2.8,FALSE,62,Unsatisfied
126,Female,34,New York,Silver,657.68,13,4.7,FALSE,26,Neutral
127,Male,45,Phoenix,Gold,1183.48,15,4.4,TRUE,12,Satisfied
128,Female,36,New York,Bronze,424.56,9,3.1,TRUE,38,Unsatisfied
129,Male,37,Miami,Gold,1197.01,15,4.7,TRUE,9,Satisfied
130,Female,26,San Diego,Silver,842.73,11,3.5,TRUE,27,Satisfied
131,Male,36,Orlando,Silver,705.21,14,3.9,FALSE,19,Neutral
132,Female,27,Orlando,Bronze,427.21,10,3.4,TRUE,50,Unsatisfied
133,Female,45,Austin,Bronze,380.39,11,3.2,TRUE,29,Unsatisfied
134,Female,30,New York,Silver,725.5,15,4.3,TRUE,39,Satisfied
135,Male,38,Philadelphia,Bronze,477.14,7,2.4,TRUE,78,Unsatisfied
136,Male,30,Boston,Gold,1201.2,15,4.5,FALSE,13,Unsatisfied
137,Female,43,Atlanta,Gold,1410.81,18,4.7,FALSE,29,Satisfied
138,Male,30,Denver,Silver,750.57,10,4.2,TRUE,51,Neutral
139,Female,27,Atlanta,Gold,1301.75,21,4.6,FALSE,25,Satisfied
140,Male,37,San Diego,Bronze,524.57,12,3.4,TRUE,32,Neutral
141,Male,26,Portland,Silver,791.01,14,4.3,FALSE,20,Neutral
142,Female,33,Dallas,Bronze,386.78,7,3,TRUE,69,Satisfied
143,Male,29,Chicago,Bronze,476.94,7,3,FALSE,33,Unsatisfied
144,Female,36,Chicago,Bronze,545.15,10,3.3,FALSE,53,Unsatisfied
145,Male,30,Chicago,Bronze,467.38,8,2.7,TRUE,24,Unsatisfied
146,Female,45,Austin,Silver,628.52,14,4.1,TRUE,19,Neutral
147,Male,33,Philadelphia,Bronze,577.62,12,3.5,TRUE,37,Unsatisfied
148,Female,44,Miami,Silver,731.31,12,4,TRUE,57,Unsatisfied
149,Female,37,Denver,Gold,1369.29,14,4.9,FALSE,14,Satisfied
150,Male,39,Dallas,Gold,1213.71,21,4.4,FALSE,27,Satisfied
151,Female,41,Boston,Gold,1161.51,16,4.4,TRUE,17,Satisfied
152,Female,27,Chicago,Gold,1371.45,16,4.8,TRUE,32,Satisfied
153,Female,39,Phoenix,Bronze,495.25,7,3.7,TRUE,23,Unsatisfied
154,Male,34,Las Vegas,Bronze,465.57,7,3.3,FALSE,78,Unsatisfied
155,Female,42,Miami,Bronze,499.6,12,3.7,TRUE,43,Unsatisfied
156,Male,36,San Diego,Gold,1417.56,19,5,FALSE,30,Satisfied
157,Female,40,Portland,Bronze,467.56,12,3.7,TRUE,80,Neutral
158,Female,37,Los Angeles,Gold,1293.38,14,5,TRUE,12,Satisfied
159,Female,26,Seattle,Silver,723.94,15,4.9,FALSE,21,Neutral
160,Male,29,Orlando,Gold,1168.62,17,4.8,FALSE,30,Satisfied
161,Male,30,Los Angeles,Gold,1248.82,16,4.4,FALSE,20,Satisfied
162,Male,31,Orlando,Silver,847.29,12,4.5,TRUE,40,Neutral
163,Female,28,Boston,Silver,644.71,14,4.3,TRUE,50,Unsatisfied
164,Male,38,Denver,Bronze,573.67,12,3.3,FALSE,56,Unsatisfied
165,Male,43,San Diego,Gold,1242.37,16,4.8,TRUE,14,Satisfied
166,Male,30,Seattle,Gold,1614.52,17,4.7,TRUE,9,Satisfied
167,Female,32,Philadelphia,Silver,778.73,10,4.8,TRUE,65,Neutral
168,Male,38,Los Angeles,Gold,1469.99,21,4.5,FALSE,23,Satisfied
169,Male,31,Denver,Bronze,450.77,10,3.6,TRUE,29,Unsatisfied
170,Female,43,Austin,Silver,715.27,11,4.3,FALSE,61,Unsatisfied
171,Male,28,Miami,Gold,1540.53,19,4.7,FALSE,32,Satisfied
172,Male,27,Portland,Bronze,394.94,10,3.2,TRUE,43,Unsatisfied
173,Male,34,Philadelphia,Bronze,483.94,11,3,TRUE,63,Unsatisfied
174,Male,30,Philadelphia,Silver,773.73,15,3.7,TRUE,41,Satisfied
175,Female,45,Austin,Silver,823.17,14,3.9,TRUE,14,Neutral
176,Female,26,Los Angeles,Silver,722.72,15,4.4,FALSE,52,Neutral
177,Female,30,Philadelphia,Silver,758.74,14,4.4,TRUE,58,Neutral
178,Female,38,Austin,Bronze,581.56,10,2.6,TRUE,47,Unsatisfied
179,Female,40,Dallas,Silver,740.25,10,4.3,TRUE,28,Neutral
180,Male,30,Denver,Gold,1516.31,21,4.7,TRUE,12,Neutral
181,Male,30,Houston,Silver,795.82,10,4.5,FALSE,65,Unsatisfied
182,Female,29,Dallas,Bronze,461.52,10,3.8,TRUE,65,Unsatisfied
183,Female,26,Denver,Silver,563.71,12,4.1,TRUE,54,Satisfied
184,Male,30,Houston,Silver,740.61,15,4.2,TRUE,63,Neutral
185,Female,44,Denver,Silver,737.93,14,4.5,FALSE,34,Neutral
186,Female,31,Los Angeles,Bronze,461.2,10,3.6,TRUE,22,Unsatisfied
187,Male,39,Houston,Silver,742.38,12,4.3,FALSE,48,Neutral
188,Male,27,Boston,Silver,750.56,15,4.1,TRUE,45,Neutral
189,Male,36,Phoenix,Silver,722.42,15,4.3,TRUE,30,Neutral
190,Female,38,Phoenix,Bronze,495.13,11,2.9,TRUE,50,Neutral
191,Male,39,Dallas,Bronze,470.78,8,2.7,TRUE,62,Unsatisfied
192,Male,42,Miami,Gold,1660.44,20,4.8,FALSE,34,Satisfied
193,Female,39,Phoenix,Silver,762.48,11,3.9,TRUE,53,Neutral
194,Male,32,San Diego,Silver,842.58,12,3.9,FALSE,12,Neutral
195,Male,37,Denver,Bronze,456.85,8,3.2,TRUE,31,Unsatisfied
196,Female,40,Phoenix,Gold,1288.85,15,4.6,TRUE,30,Unsatisfied
197,Male,43,Orlando,Gold,1153.38,18,4.5,TRUE,31,Satisfied
198,Male,27,Phoenix,Gold,1216.56,21,4.9,TRUE,20,Unsatisfied
199,Male,35,Portland,Gold,1226.48,15,5,TRUE,34,Satisfied
200,Female,29,Phoenix,Bronze,490.5,12,3.3,TRUE,53,Unsatisfied
201,Female,43,Austin,Gold,1320.53,14,4.7,TRUE,8,Neutral
202,Male,43,Las Vegas,Silver,759.87,11,3.9,FALSE,39,Neutral
203,Male,45,Orlando,Gold,1447.45,14,4.7,FALSE,22,Satisfied
204,Male,43,Las Vegas,Gold,1303.45,21,4.2,FALSE,15,Neutral
205,Male,40,San Diego,Bronze,522.48,12,3.3,TRUE,71,Unsatisfied
206,Male,34,Denver,Gold,1461.36,15,4.6,TRUE,35,Satisfied
207,Male,37,Atlanta,Silver,861.11,15,4.1,TRUE,37,Neutral
208,Male,42,New York,Gold,1478.98,17,4.7,TRUE,15,Satisfied
209,Female,38,Seattle,Silver,792.14,13,4.5,TRUE,30,Satisfied
210,Male,33,Atlanta,Bronze,439.19,8,3.1,TRUE,19,Unsatisfied
211,Female,27,Austin,Gold,1368.49,16,4.9,TRUE,12,Satisfied
212,Female,32,Los Angeles,Bronze,458.42,10,3.7,FALSE,76,Unsatisfied
213,Male,43,New York,Gold,1366.51,17,4.3,TRUE,14,Neutral
214,Male,35,Portland,Gold,1356.17,18,4.9,TRUE,30,Unsatisfied
215,Male,40,Austin,Bronze,307.61,11,3.3,FALSE,21,Satisfied
216,Female,27,Seattle,Bronze,358.63,11,2.7,FALSE,44,Unsatisfied
217,Female,34,Los Angeles,Silver,744.8,14,3.8,TRUE,41,Neutral
218,Male,26,Chicago,Gold,1288.74,14,4.7,TRUE,9,Satisfied
219,Female,28,New York,Silver,709.22,12,4.4,TRUE,62,Satisfied
220,Female,30,Orlando,Gold,1284.6,15,4.8,TRUE,28,Satisfied
221,Male,39,Chicago,Silver,696.38,10,3.8,TRUE,26,Neutral
222,Male,42,Chicago,Gold,1539.04,21,4.4,FALSE,10,Neutral
223,Female,30,Portland,Silver,745.89,10,4.3,TRUE,48,Neutral
224,Male,30,Miami,Silver,761.28,10,4.3,FALSE,13,Neutral
225,Male,27,San Francisco,Gold,1415.31,18,5,FALSE,15,Neutral
226,Female,45,Los Angeles,Silver,715.26,15,3.9,FALSE,51,Neutral
227,Male,30,San Diego,Bronze,450.25,9,3,FALSE,59,Neutral
228,Female,42,Seattle,Gold,1323.57,18,4.8,FALSE,29,Satisfied
229,Male,27,Orlando,Bronze,491.2,7,3.3,TRUE,31,Unsatisfied
230,Female,41,Los Angeles,Gold,1337.08,17,4.8,TRUE,22,Satisfied
231,Male,41,San Francisco,Gold,1323.62,16,4.7,TRUE,33,Satisfied
232,Female,44,Las Vegas,Bronze,520.53,10,3.7,TRUE,47,Unsatisfied
233,Female,29,Denver,Bronze,567,9,3.3,TRUE,75,Neutral
234,Female,31,Austin,Silver,728.08,11,3.5,TRUE,14,Satisfied
235,Female,26,Orlando,Silver,778.58,10,4.1,FALSE,56,Neutral
236,Male,33,Boston,Gold,1495.18,20,4.6,TRUE,13,Satisfied
237,Male,31,San Diego,Silver,745.02,13,3.9,TRUE,39,Satisfied
238,Male,30,Portland,Silver,794.55,14,4.1,FALSE,45,Neutral
239,Male,27,Orlando,Silver,852.4,14,4.2,FALSE,49,Neutral
240,Male,40,San Francisco,Bronze,435.16,10,3.9,TRUE,57,Unsatisfied
241,Female,33,Dallas,Gold,1512.37,14,4.9,TRUE,12,Satisfied
242,Male,34,Dallas,Silver,807.01,14,3.7,FALSE,51,Neutral
243,Male,39,Atlanta,Silver,580.9,14,4.2,FALSE,51,Satisfied
244,Female,31,Las Vegas,Gold,1690.31,14,4.6,TRUE,31,Satisfied
245,Male,40,Las Vegas,Bronze,459.03,7,2.8,TRUE,58,Neutral
246,Male,40,New York,Bronze,418.34,9,3,TRUE,28,Unsatisfied
247,Male,26,Philadelphia,Bronze,486.72,9,3.4,TRUE,76,Unsatisfied
248,Female,27,San Diego,Gold,1508.55,21,4.5,TRUE,29,Neutral
249,Female,34,Los Angeles,Silver,876.26,14,4.1,TRUE,25,Satisfied
250,Female,26,Seattle,Silver,801.5,11,4.4,TRUE,55,Unsatisfied
251,Male,32,San Diego,Bronze,463.43,12,3.5,TRUE,46,Unsatisfied
252,Female,37,New York,Silver,745.02,11,4.1,TRUE,30,Satisfied
253,Female,31,Phoenix,Gold,1522.63,14,4.6,TRUE,29,Satisfied
254,Male,37,Miami,Gold,1308.26,15,4.7,FALSE,8,Satisfied
255,Male,28,San Francisco,Silver,715.9,11,3.7,TRUE,52,Neutral
256,Female,43,Boston,Gold,1366.59,14,5,FALSE,12,Satisfied
257,Female,28,Denver,Silver,690.31,10,3.8,FALSE,54,Satisfied
258,Female,27,Austin,Gold,1241.97,21,4.6,FALSE,30,Satisfied
259,Male,34,Chicago,Silver,792.15,13,4.4,TRUE,30,Unsatisfied
260,Female,31,Las Vegas,Gold,1328.14,14,4.4,FALSE,10,Satisfied
261,Male,40,Denver,Silver,766.8,14,3.7,FALSE,58,Satisfied
262,Female,35,Miami,Bronze,499.2,12,3,TRUE,56,Unsatisfied
263,Male,39,Atlanta,Gold,1393.98,16,5,FALSE,16,Satisfied
264,Male,31,Houston,Silver,797.94,15,4.1,TRUE,24,Satisfied
265,Female,34,Orlando,Silver,813.1,13,4.2,TRUE,29,Neutral
266,Female,27,Los Angeles,Silver,763.91,11,4,TRUE,49,Neutral
267,Male,34,Philadelphia,Bronze,470.31,12,3.6,TRUE,35,Neutral
268,Male,36,San Diego,Silver,807.31,14,3.9,TRUE,55,Unsatisfied
269,Male,29,Dallas,Gold,1397.75,14,4.8,TRUE,26,Satisfied
270,Male,33,Portland,Silver,837.36,10,3.9,TRUE,28,Neutral
271,Male,34,Las Vegas,Silver,864.02,14,4.4,FALSE,32,Neutral
272,Female,35,Las Vegas,Silver,757.92,11,4.1,TRUE,38,Neutral
273,Female,33,Houston,Bronze,508.57,10,3.6,TRUE,58,Neutral
274,Female,29,Atlanta,Bronze,517.08,12,2.9,TRUE,42,Unsatisfied
275,Female,42,Philadelphia,Bronze,467.16,7,3.3,TRUE,51,Unsatisfied
276,Female,26,Miami,Gold,1624.35,21,4.6,FALSE,26,Satisfied
277,Female,28,Miami,Gold,1453.05,19,4.6,FALSE,12,Satisfied
278,Male,26,Phoenix,Gold,1538.2,21,4.7,FALSE,11,Satisfied
279,Male,30,Chicago,Gold,1402.08,16,4.7,TRUE,26,Satisfied
280,Male,33,Houston,Bronze,446.11,9,3.3,TRUE,21,Satisfied
281,Female,26,Austin,Silver,697.68,11,3.8,TRUE,44,Unsatisfied
282,Female,40,San Francisco,Bronze,427.48,8,3.3,TRUE,79,Neutral
283,Male,39,New York,Gold,1497.99,16,4.8,FALSE,18,Neutral
284,Female,36,Los Angeles,Bronze,489.01,7,3.1,TRUE,36,Unsatisfied
285,Female,33,Las Vegas,Silver,742.81,14,3.9,TRUE,63,Satisfied
286,Female,30,Dallas,Gold,1237.61,19,4.9,TRUE,20,Satisfied
287,Female,44,Houston,Silver,757.89,15,3.7,FALSE,40,Neutral
288,Male,26,Houston,Bronze,431.56,10,3.5,TRUE,76,Neutral
289,Female,26,Dallas,Silver,665.09,10,4.1,TRUE,47,Neutral
290,Male,41,New York,Silver,714.09,10,4.5,TRUE,46,Neutral
291,Male,36,New York,Bronze,501.23,11,2.9,TRUE,32,Neutral
292,Female,29,Boston,Gold,1215.73,18,4.5,FALSE,15,Neutral
293,Female,34,Denver,Bronze,412.37,11,3.1,FALSE,78,Neutral
294,Male,39,Houston,Bronze,407.93,10,3.5,TRUE,28,Neutral
295,Male,26,New York,Bronze,425.56,10,3.2,FALSE,60,Neutral
296,Female,35,New York,Gold,1204.24,19,4.4,FALSE,31,Satisfied
297,Male,37,Seattle,Silver,684.28,13,4,TRUE,18,Neutral
298,Male,44,New York,Bronze,527.11,10,3.3,TRUE,28,Unsatisfied
299,Female,31,Orlando,Silver,574.47,14,3.6,TRUE,43,Neutral
300,Male,37,Las Vegas,Bronze,456.05,7,3.5,TRUE,42,Neutral
301,Male,34,Dallas,Gold,1360.08,19,4.8,TRUE,10,Neutral
302,Female,42,San Diego,Bronze,504.86,10,3.2,FALSE,52,Neutral
303,Female,30,Dallas,Gold,1162.76,16,4.9,FALSE,16,Satisfied
304,Female,27,Houston,Silver,786.44,12,4.1,TRUE,54,Neutral
305,Male,42,Phoenix,Gold,1389.56,16,4.5,FALSE,9,Satisfied
306,Male,28,Denver,Bronze,520.06,10,3.1,TRUE,32,Neutral
307,Female,36,Houston,Gold,1243.37,14,4.8,FALSE,24,Satisfied
308,Male,30,Austin,Silver,704.7,12,4.1,TRUE,36,Neutral
309,Female,33,Denver,Silver,714.83,12,4.1,TRUE,36,Neutral
310,Female,42,Austin,Gold,1278.68,20,4.6,TRUE,31,Satisfied
311,Male,35,Orlando,Silver,925.49,11,4.4,FALSE,14,Satisfied
312,Female,26,New York,Gold,1166.64,21,4.6,FALSE,18,Satisfied
313,Female,27,Atlanta,Gold,1180.55,15,5,FALSE,31,Satisfied
314,Male,33,Chicago,Bronze,377.29,12,3,TRUE,30,Unsatisfied
315,Male,38,Seattle,Silver,718.87,13,4.1,TRUE,25,Neutral
316,Female,28,Denver,Gold,1496.11,16,4.6,FALSE,34,Satisfied
317,Male,35,Dallas,Gold,1640.14,21,5,FALSE,14,Satisfied
318,Female,28,New York,Gold,1452.47,19,5,FALSE,20,Satisfied
319,Female,26,New York,Bronze,512.99,11,3.2,FALSE,48,Unsatisfied
320,Male,42,Los Angeles,Gold,1439.79,19,4.6,FALSE,21,Satisfied
321,Female,26,Miami,Silver,725.24,12,3.9,TRUE,29,Neutral
322,Male,27,Philadelphia,Silver,768.34,14,3.9,TRUE,54,Neutral
323,Female,43,Atlanta,Bronze,526.81,9,2.9,TRUE,34,Unsatisfied
324,Female,28,Houston,Bronze,490.49,9,4.2,TRUE,29,Satisfied
325,Male,40,Atlanta,Silver,601.92,13,3.9,FALSE,23,Neutral
326,Female,43,Denver,Bronze,477.38,9,3.3,TRUE,76,Unsatisfied
327,Male,43,Phoenix,Bronze,547.36,11,3.5,TRUE,41,Neutral
328,Male,29,Los Angeles,Bronze,403.29,11,3.8,TRUE,21,Neutral
329,Female,29,Chicago,Bronze,529.79,8,3.9,TRUE,68,Neutral
330,Female,30,Boston,Gold,1419.36,21,4.7,FALSE,13,Satisfied
331,Male,42,Philadelphia,Bronze,505.26,9,3.2,TRUE,60,Neutral
332,Female,28,Austin,Gold,1348.51,21,4.5,TRUE,14,Satisfied
333,Male,28,Los Angeles,Gold,1342.18,15,4.2,TRUE,9,Satisfied
334,Male,26,Atlanta,Silver,770.95,15,4.2,TRUE,32,Neutral
335,Female,27,Los Angeles,Silver,693.79,15,3.8,TRUE,41,Neutral
336,Female,32,Orlando,Silver,881.03,15,3.7,FALSE,22,Neutral
337,Male,27,New York,Silver,783.68,13,4.7,FALSE,40,Unsatisfied
338,Male,31,Los Angeles,Silver,807.98,13,3.6,TRUE,15,Neutral
339,Female,30,Seattle,Gold,1383.51,16,4.9,FALSE,8,Satisfied
340,Female,31,Phoenix,Gold,1216.76,20,4.4,TRUE,20,Satisfied
341,Female,33,Chicago,Bronze,431.54,8,3.4,TRUE,26,Unsatisfied
342,Female,32,San Diego,Gold,1494.32,20,4.7,FALSE,30,Satisfied
343,Male,31,Seattle,Silver,835.1,15,4.2,TRUE,37,Satisfied
344,Female,29,Dallas,Bronze,541.38,8,3.1,TRUE,22,Unsatisfied
345,Female,26,Houston,Gold,1450.45,20,4.4,FALSE,34,Satisfied
346,Male,29,Austin,Gold,1532.8,16,5,TRUE,34,Satisfied
347,Male,32,Orlando,Bronze,611.68,12,3.6,FALSE,32,Neutral
348,Male,43,Seattle,Bronze,364.57,10,3.7,TRUE,63,Neutral
349,Female,30,Seattle,Silver,719.84,11,3.8,TRUE,20,Neutral
350,Male,32,Boston,Gold,1302.61,18,4.7,FALSE,34,Unsatisfied
